star  ID  origin  snr R HIP_ID  Group Teff  eTeff logg  elogg vmic_GES  vmac_GES  vsini e_vsini [Fe/H]  e[Fe/H] [Ca/H]  e[Ca/H] [Co/H]  e[Co/H] [Cr/H]  e[Cr/H] [Mg/H]  e[Mg/H] [Mn/H]  e[Mn/H] [Ni/H]  e[Ni/H] [Sc/H]  e[Sc/H] [Si/H]  e[Si/H] [Ti/H]  e[Ti/H] [V/H] e[V/H]
betHyi  UVES.POP_betHyi BS_UVES.POP 676.0 80000.0 HIP2021 FGK subgiants 5873  45  3.98  0.02  1.165 4.786 3.3 0.3 -0.07 0.06  -0.06 0.06  -0.08 0.05  -0.1  0.07  -0.04 0.05  -0.12 0.06  -0.09 0.05  -0.04 0.05  -0.07 0.04  -0.07 0.06  -0.08 0.06
betVir  ESPaDOnS_betVir-1 BS_ESPaDOnS 635.0 65000.0 HIP57757  G dwarfs  6083  41  4.1 0.02  1.245 5.591 2.0 0.6 0.21  0.07  0.14  0.06  0.08  0.05  0.08  0.05  0.09  0.07  0.1 0.08  0.11  0.05  0.18  0.05  0.13  0.05  0.07  0.07  0.07  0.05
betVir  HARPS.Archive_betVir  BS_HARPS  313.0 115000.0  HIP57757  G dwarfs  6083  41  4.1 0.02  1.245 5.591 2.0 0.6 0.21  0.07  0.14  0.06  0.08  0.05  0.08  0.05  0.09  0.07  0.1 0.08  0.11  0.05  0.18  0.05  0.13  0.05  0.07  0.07  0.07  0.05
betVir  NARVAL_betVir BS_NARVAL 400.0 80000.0 HIP57757  G dwarfs  6083  41  4.1 0.02  1.245 5.591 2.0 0.6 0.21  0.07  0.14  0.06  0.08  0.05  0.08  0.05  0.09  0.07  0.1 0.08  0.11  0.05  0.18  0.05  0.13  0.05  0.07  0.07  0.07  0.05
delEri  HARPS.Archive_delEri-w  BS_HARPS  525.0 115000.0  HIP17378  FGK subgiants 4954  30  3.76  0.02  0.996 3.533 0.7 0.6 0.06  0.05  0.03  0.11  0.07  0.06  0.03  0.07  0.18  0.14  -0.03 0.14  0.09  0.09  0.08  0.12  0.14  0.07  0.04  0.09  0.04  0.08
delEri  NARVAL_delEri BS_NARVAL 346.0 80000.0 HIP17378  FGK subgiants 4954  30  3.76  0.02  0.996 3.533 0.7 0.6 0.06  0.05  0.03  0.11  0.07  0.06  0.03  0.07  0.18  0.14  -0.03 0.14  0.09  0.09  0.08  0.12  0.14  0.07  0.04  0.09  0.04  0.08
delEri  UVES_delEri-1 BS_UVES 206.0 75000.0 HIP17378  FGK subgiants 4954  30  3.76  0.02  0.996 3.533 0.7 0.6 0.06  0.05  0.03  0.11  0.07  0.06  0.03  0.07  0.18  0.14  -0.03 0.14  0.09  0.09  0.08  0.12  0.14  0.07  0.04  0.09  0.04  0.08
delEri  UVES_delEri-2 BS_UVES 22.0  74450.0 HIP17378  FGK subgiants 4954  30  3.76  0.02  0.996 3.533 0.7 0.6 0.06  0.05  0.03  0.11  0.07  0.06  0.03  0.07  0.18  0.14  -0.03 0.14  0.09  0.09  0.08  0.12  0.14  0.07  0.04  0.09  0.04  0.08
delEri  UVES.POP_delEri BS_UVES.POP 548.0 85000.0 HIP17378  FGK subgiants 4954  30  3.76  0.02  0.996 3.533 0.7 0.6 0.06  0.05  0.03  0.11  0.07  0.06  0.03  0.07  0.18  0.14  -0.03 0.14  0.09  0.09  0.08  0.12  0.14  0.07  0.04  0.09  0.04  0.08
epsEri  HARPS.Archive_epsEri-w  BS_HARPS  474.0 115000.0  HIP16537  K dwarfs  5076  30  4.61  0.03  0.864 3.326 2.4 0.2 -0.1  0.06  -0.06 0.07  -0.2  0.16  -0.03 0.09  -0.08 0.1 -0.16 0.08  -0.18 0.08  -0.16 0.1 -0.1  0.1 -0.04 0.1 -0.02 0.13
epsEri  UVES_epsEri-1 BS_UVES 220.0 90000.0 HIP16537  K dwarfs  5076  30  4.61  0.03  0.864 3.326 2.4 0.2 -0.1  0.06  -0.06 0.07  -0.2  0.16  -0.03 0.09  -0.08 0.1 -0.16 0.08  -0.18 0.08  -0.16 0.1 -0.1  0.1 -0.04 0.1 -0.02 0.13
epsEri  UVES_epsEri-2 BS_UVES 206.0 107200.0  HIP16537  K dwarfs  5076  30  4.61  0.03  0.864 3.326 2.4 0.2 -0.1  0.06  -0.06 0.07  -0.2  0.16  -0.03 0.09  -0.08 0.1 -0.16 0.08  -0.18 0.08  -0.16 0.1 -0.1  0.1 -0.04 0.1 -0.02 0.13
epsEri  UVES.POP_epsEri BS_UVES.POP 1653.0  80000.0 HIP16537  K dwarfs  5076  30  4.61  0.03  0.864 3.326 2.4 0.2 -0.1  0.06  -0.06 0.07  -0.2  0.16  -0.03 0.09  -0.08 0.1 -0.16 0.08  -0.18 0.08  -0.16 0.1 -0.1  0.1 -0.04 0.1 -0.02 0.13
epsFor  HARPS.GBOG_epsFor BS_HARPS  334.0 115000.0  HIP14086  FGK subgiants 5123  78  3.52  0.08  1.006 4.185 4.2 1.0 -0.62 0.1 -0.27 0.09  -0.47 0.08  -0.52 0.08  -0.21 0.06  -0.72 0.13  -0.54 0.09  -0.51 0.09  -0.38 0.05  -0.22 0.13  -0.4  0.09
epsVir  ESPaDOnS_epsVir BS_ESPaDOnS 435.0 65000.0 HIP63608  FGK giants  4983  61  2.77  0.02  1.23  3.755 2.0 1.0 0.13  0.16  0.11  0.11  -0.03 0.1 0.06  0.08  0.06  0.11  -0.13 0.17  0.09  0.1 0.07  0.13  0.18  0.07  -0.03 0.11  -0.03 0.12
epsVir  HARPS.GBOG_epsVir BS_HARPS  392.0 115000.0  HIP63608  FGK giants  4983  61  2.77  0.02  1.23  3.755 2.0 1.0 0.13  0.16  0.11  0.11  -0.03 0.1 0.06  0.08  0.06  0.11  -0.13 0.17  0.09  0.1 0.07  0.13  0.18  0.07  -0.03 0.11  -0.03 0.12
epsVir  NARVAL_epsVir BS_NARVAL 377.0 80000.0 HIP63608  FGK giants  4983  61  2.77  0.02  1.23  3.755 2.0 1.0 0.13  0.16  0.11  0.11  -0.03 0.1 0.06  0.08  0.06  0.11  -0.13 0.17  0.09  0.1 0.07  0.13  0.18  0.07  -0.03 0.11  -0.03 0.12
etaBoo  HARPS.GBOG_etaBoo BS_HARPS  415.0 115000.0  HIP67927  FGK subgiants 6099  28  3.79  0.02  1.298 5.755 12.7  1.4 0.3 0.08  0.29  0.12  0.32  0.08  0.24  0.09  0.37  0.11  0.27  0.1 0.33  0.1 0.23  0.11  0.36  0.11  0.21  0.12  0.22  0.1
etaBoo  NARVAL_etaBoo BS_NARVAL 417.0 80000.0 HIP67927  FGK subgiants 6099  28  3.79  0.02  1.298 5.755 12.7  1.4 0.3 0.08  0.29  0.12  0.32  0.08  0.24  0.09  0.37  0.11  0.27  0.1 0.33  0.1 0.23  0.11  0.36  0.11  0.21  0.12  0.22  0.1
gamSge  NARVAL_gamSge BS_NARVAL 459.0 80000.0 HIP98337  M giants  3807  49  1.05  0.32  1.43  5.02  6.0 1.0 -0.16 0.39  -0.29 0.19  -0.1  0.21  -0.15 0.14  0.04  0.11  NaN NaN -0.17 0.27  -0.32 0.35  0.15  0.26  -0.27 0.2 -0.31 0.27
ksiHya  ESPaDOnS_ksiHya-1 BS_ESPaDOnS 526.0 65000.0 HIP56343  FGK giants  5044  40  2.87  0.02  1.234 3.698 2.4 0.6 0.14  0.2 0.07  0.1 -0.01 0.09  0.08  0.06  0.03  0.12  -0.11 0.18  0.04  0.12  0.06  0.14  0.08  0.08  0.03  0.1 0.05  0.09
ksiHya  HARPS.GBOG_ksiHya BS_HARPS  391.0 115000.0  HIP56343  FGK giants  5044  40  2.87  0.02  1.234 3.698 2.4 0.6 0.14  0.2 0.07  0.1 -0.01 0.09  0.08  0.06  0.03  0.12  -0.11 0.18  0.04  0.12  0.06  0.14  0.08  0.08  0.03  0.1 0.05  0.09
muAra HARPS.Archive_muAra BS_HARPS  252.0 115000.0  HIP71683  G dwarfs  5902  66  4.3 0.03  1.147 4.112 2.2 0.8 0.33  0.13  0.32  0.07  0.42  0.06  0.37  0.06  0.36  0.06  0.43  0.09  0.42  0.07  0.4 0.08  0.33  0.04  0.39  0.08  0.43  0.07
muAra UVES_muAra-1  BS_UVES 309.0 95000.0 HIP71683  G dwarfs  5902  66  4.3 0.03  1.147 4.112 2.2 0.8 0.33  0.13  0.32  0.07  0.42  0.06  0.37  0.06  0.36  0.06  0.43  0.09  0.42  0.07  0.4 0.08  0.33  0.04  0.39  0.08  0.43  0.07
muAra UVES_muAra-2  BS_UVES 252.0 107200.0  HIP71683  G dwarfs  5902  66  4.3 0.03  1.147 4.112 2.2 0.8 0.33  0.13  0.32  0.07  0.42  0.06  0.37  0.06  0.36  0.06  0.43  0.09  0.42  0.07  0.4 0.08  0.33  0.04  0.39  0.08  0.43  0.07
muCas NARVAL_muCas  BS_NARVAL 269.0 80000.0 HIP5336 G dwarfs  5308  29  4.41  0.06  0.908 3.846 0.0 0.0 -0.82 0.03  -0.57 0.05  -0.72 0.05  -0.83 0.07  -0.45 0.08  -1.01 0.05  -0.83 0.05  -0.69 0.12  -0.58 0.08  -0.52 0.07  -0.66 0.05
muLeo ESPaDOnS_muLeo-1  BS_ESPaDOnS 779.0 65000.0 HIP48455  FGK giants  4474  60  2.51  0.11  1.276 3.654 5.1 1.0 0.26  0.15  0.28  0.14  0.45  0.16  0.34  0.13  0.47  0.13  0.09  0.3 0.32  0.15  0.23  0.11  0.52  0.13  0.32  0.16  0.3 0.13
muLeo NARVAL_muLeo  BS_NARVAL 402.0 80000.0 HIP48455  FGK giants  4474  60  2.51  0.11  1.276 3.654 5.1 1.0 0.26  0.15  0.28  0.14  0.45  0.16  0.34  0.13  0.47  0.13  0.09  0.3 0.32  0.15  0.23  0.11  0.52  0.13  0.32  0.16  0.3 0.13
psiPhe  HARPS.GBOG_psiPhe BS_HARPS  377.0 115000.0  HIP8837 M giants  3472  92  0.51  0.18  1.546 6.138 3.0 1.0 -1.23 0.39  -0.69 0.41  -0.62 0.42  -0.84 0.28  NaN NaN NaN NaN -1.22 0.63  -0.67 0.53  NaN NaN -0.89 0.4 -1.18 0.43
psiPhe  UVES_psiPhe BS_UVES 118.0 74450.0 HIP8837 M giants  3472  92  0.51  0.18  1.546 6.138 3.0 1.0 -1.23 0.39  -0.69 0.41  -0.62 0.42  -0.84 0.28  NaN NaN NaN NaN -1.22 0.63  -0.67 0.53  NaN NaN -0.89 0.4 -1.18 0.43
tauCet  ESPaDOnS_tauCet-1 BS_ESPaDOnS 1238.0  65000.0 HIP8102 G dwarfs  5414  21  4.49  0.02  0.926 3.595 0.4 0.4 -0.5  0.03  -0.29 0.09  -0.35 0.08  -0.42 0.07  -0.22 0.08  -0.51 0.07  -0.45 0.08  -0.34 0.08  -0.35 0.04  -0.17 0.1 -0.25 0.11
tauCet  HARPS.Archive_tauCet  BS_HARPS  263.0 115000.0  HIP8102 G dwarfs  5414  21  4.49  0.02  0.926 3.595 0.4 0.4 -0.5  0.03  -0.29 0.09  -0.35 0.08  -0.42 0.07  -0.22 0.08  -0.51 0.07  -0.45 0.08  -0.34 0.08  -0.35 0.04  -0.17 0.1 -0.25 0.11
tauCet  NARVAL_tauCet BS_NARVAL 357.0 80000.0 HIP8102 G dwarfs  5414  21  4.49  0.02  0.926 3.595 0.4 0.4 -0.5  0.03  -0.29 0.09  -0.35 0.08  -0.42 0.07  -0.22 0.08  -0.51 0.07  -0.45 0.08  -0.34 0.08  -0.35 0.04  -0.17 0.1 -0.25 0.11
